Network Type,Band,Num_Carriers,SINR,RB,TH_CWD0,TH_CWD1,ANT,TRANS,RANK,BLER,CQI_CWD0,CQI_CWD1,MCS_CWD0,MCS_CWD1
CX,L,4,13,36,19.5,20.19,4x4,4,2,9.3,11,10,256QAM,256QAM
CX,U,4,9.5,99,34.27,7.17,2x2,4,1,13,9,1,,
CX,U,4,12.9,99,33.82,1.85,2x2,4,1,9.9,9,0,,
CX,L,4,12.2,20,11.63,11.55,4x4,4,2,9,10,9,256QAM,256QAM
CX,U,4,9.4,100,24.54,14.87,2x2,4,2,11.1,6,4,,
CX,U,4,12.5,100,35.17,0,2x2,4,1,8.5,8,0,,
CX,L,4,12.2,21,12.12,12.56,4x4,4,2,8.9,9,10,256QAM,256QAM
CX,U,4,10.9,0,,,,,,0,8,3,,
CX,U,4,9.7,100,39.61,1.8,2x2,4,1,10,9,0,,
CX,U,4,12,100,24.09,9.65,2x2,4,2,9.8,6,2,,
CX,L,4,12.9,21,11.19,12.65,4x4,4,2,9.7,10,10,256QAM,256QAM
CX,U,4,9.5,100,26.19,13.5,2x2,4,2,10.1,6,4,,
CX,U,4,11.3,100,34.39,1.5,2x2,4,1,8.6,8,0,,
CX,L,4,11.6,21,11.19,13.57,4x4,4,2,9.9,10,9,256QAM,256QAM
CX,U,4,12,0,,,,,,0,7,4,,
CX,U,4,9.8,100,36.86,5.94,2x2,4,1,12,7,2,,
CX,U,4,12.7,100,29.01,9.9,2x2,4,2,9.8,6,3,,
CX,L,4,10.7,17,9.07,10.03,4x4,4,2,8.9,9,9,256QAM,256QAM
CX,U,4,13.6,0,,,,,,0,8,5,,
CX,U,4,9.9,97,39.68,0.34,2x2,4,1,11.9,9,0,,
CX,U,4,12.4,96,22.35,14.35,2x2,4,2,8.7,5,5,,
CX,L,4,11.7,21,12.72,11.22,4x4,4,2,9.7,10,9,256QAM,256QAM
CX,U,4,13.1,0,,,,,,0,10,5,,
CX,U,4,10.3,100,42.55,1.47,2x2,4,1,11.6,9,0,,
CX,U,4,12.7,100,38.95,2.41,2x2,4,1,9.2,9,0,,
CX,L,4,11.9,24,14.05,13.96,4x2,4,1,9.4,10,9,256QAM,256QAM
CX,U,4,12.5,0,,,,,,0,7,4,,
CX,U,4,10,100,38.78,1.8,2x2,4,1,12.6,9,0,,
CX,U,4,11.3,100,31.05,8.62,2x2,4,2,10.9,9,0,,
CX,L,4,11.3,34,18.2,17.31,4x4,4,2,8.9,10,9,256QAM,256QAM
CX,U,4,9.6,100,13.52,6.07,2x2,4,1,23.8,6,4,,
CX,U,4,7.1,100,16.99,0.38,2x2,4,1,14.3,9,0,,
CX,L,4,11.7,40,19.97,19.32,4x4,4,2,10.4,10,9,256QAM,256QAM
CX,U,4,8.9,100,3.82,1.14,2x2,4,1,29.3,3,0,,
CX,U,4,3.7,100,5.16,1.19,2x2,4,2,26.6,5,1,,
CX,L,4,10.4,69,31,31.38,4x4,4,2,9.2,9,8,256QAM,64QAM
CX,U,4,8,100,7.94,0.63,2x2,4,1,24.6,5,0,,
CX,U,4,4.4,100,5.68,2.1,2x2,4,1,11.8,5,3,,
CX,L,4,12.1,73,35.91,36.01,4x4,4,2,9.4,9,9,256QAM,256QAM
CX,U,4,20.5,0,,,,,,0,7,4,,
CX,U,4,3.5,100,1.62,0.31,2x2,4,2,19.5,8,2,,
CX,L,4,11.9,73,35.92,35.59,4x4,4,2,8.8,9,9,256QAM,64QAM
CX,U,4,14.9,0,,,,,,0,7,4,,
CX,U,4,9.3,0,,,,,,0,9,1,,
